semester,name,credit,kind
1,BAHASA ARAB,3,class
1,MATEMATIKA DISKRIT,2,class
1,PANCASILA,2,class
1,PENGANTAR STUDI ISLAM,4,class
1,PRAKTIKUM IBADAH,1,class
1,MATEMATIKA DASAR 1,3,class
1,DASAR-DASAR PEMROGRAMAN,6,class
1,BAHASA INDONESIA,3,class
2,KEWARGANEGARAAN,2,class
2,PRAKTIKUM QIROAAH,1,class
2,STATISTIKA DAN PROBABILITAS,4,class
2,BAHASA INGGRIS,3,class
2,SISTEM BASIS DATA,4,class
2,STRUKTUR DATA DAN ALGORITMA,3,class
2,PENGANTAR SISTEM DIGITAL,4,class
2,ALJABAR LINIER,3,class
3,METODE NUMERIK,3,class
3,REKAYASA PERANGKAT LUNAK,3,class
3,ANALISIS DAN DESAIN SISTEM,3,class
3,MATEMATIKA DASAR 2,3,class
3,PENGANTAR ORGANISASI KOMPUTER,3,class
3,PERANCANGAN DAN PEMROGRAMAN WEB,3,class
3,KOMUNIKASI DATA,3,class
3,HUKUM DAN KEBIJAKAN TEKNOLOGI INFORMASI,3,class
4,JARINGAN KOMPUTER,4,class
4,ISLAM DAN ILMU PENGETAHUAN,3,class
4,ARSITEKTUR KOMPUTER DAN BAHASA ASSEMBLY,3,class
4,MANAJEMEN PROYEK TEKNOLOGI INFORMASI,3,class
4,DESAIN DAN ANALISIS ALGORITMA,4,class
4,KRIPTOGRAFI (I),3,class
4,SISTEM OPERASI,4,class
5,PEMROGRAMAN SISTEM,3,class
5,KECERDASAN BUATAN,4,class
5,TEORI BAHASA DAN AUTOMATA,3,class
5,PENGUJIAN PERANGKAT LUNAK,3,class
5,KEAMANAN TEKNOLOGI INFORMASI,3,class
5,MANAJEMEN LAYANAN TEKNOLOGI INFORMASI,3,class
5,TEHNIK PEMODELAN DAN SIMULASI,3,class
6,MEDIA DIGITAL ENTERPRISE,3,class
6,KEAMANAN JARINGAN,3,class
6,TIK DAN ISLAM,3,class
6,COMPUTER FORENSIC,3,class
6,PENJAMINAN MUTU PERANGKAT LUNAK,3,class
6,WIRELESS SENSOR NETWORK,3,class
6,RISET TEKNOLOGI INFORMASI DAN KOMUNIKASI,3,class
6,INTERAKSI MANUSIA DAN KOMPUTER,2,class
7,KULIAH KERJA NYATA,3,activity
7,PRAKTEK KERJA LAPANGAN,3,activity
7,SEMINAR HASIL,3,activity
7,SKRIPSI,3,activity